Aamir,Amir
Abbe,Abe
Abegail,Abigail
Abiah,Abijah
Abigaëlle,Abigaïl
Abigayle,Abigail
Adalberto,Alberto
Adalindis,Adallinda
Adaline,Adelina
Adalyn,Adeline
Adalynn,Adeline
Adde,Ade
Addilyn,Adeline
Addyson,Addison
Adelbert,Adalbert
Adella,Adela
Adelle,Adele
Adelyn,Adeline
Adelynn,Adeline
Ademir,Ademar
Aden,Aidan
Adena,Adina
Adjoa,Adwoa
Admir,Amir
Adonay,Adonai
Adriene,Adriana
Áedh,Áed
Ælfthryth,Ælfþryð
Aerona,Aeron
Æðelberht,Æþelbeorht
Æthelflæd,Æðelflæd
Æþelræd,Æðelræd
Æthelred,Æðelræd
Æthelric,Æðelric
Æthelstan,Æðelstan
Æthelthryth,Æðelþryð
Æthelwine,Æðelwine
Afia,Afua
Agi,Ago
Agneša,Agnes
Agneta,Agnes
Agnete,Agnes
Agnetha,Agnes
Agnethe,Agnes
Agus,Bagus
Ahmed,Ahmad
Aida,Ayda
Aiden,Aidan
Aileen,Eileen
Ailen,Ayelen
Aimee,Amy
Aimeric,Heimirich
Aina,Aino
Ainara,Enara
Ainslee,Ainsley
Ainslie,Ainsley
Aintzane,Aintza
Aira,Airi
Aishatu,Aisha
Aislin,Aisling
Aislinn,Aisling
Aithne,Eithne
Akeem,Hakim
Akhenaten,Akhenaton
Aksel,Axel
Aksinya,Kseniya
Akulina,Akilina
Alaia,Alayah
Alaina,Alana
Alaiya,Alayah
Alani,Alana
Alannah,Alana
Alannis,Alanis
Alard,Adalhard
Alaya,Alayah
Alayah,Aaliyah
Alayna,Alaina
Alberic,Alberich
Albrecht,Albert
Aldéric,Aldric
Aldreda,Etheldred
Aldus,Aldous
Alea,Aaliyah
Aleah,Aaliyah
Alease,Alicia
Alecia,Alicia
Aleesha,Alicia
Alene,Aline
Alesha,Alicia
Alesia,Alicia
Aleta,Alethea
Aletha,Alethea
Alevtina,Valentina
Alexandrea,Alexandria
Alexandrie,Alexandra
Alexus,Alexis
Alfwin,Alboin
Aliah,Aaliyah
Aline,Eileen
Alise,Alice
Alisha,Alicia
Alishia,Alicia
Alisia,Alicia
Alissa,Alyssa
Alisya,Alicia
Alita,Alethea
Alivia,Olivia
Alix,Alice
Allan,Alan
Allana,Alana
Allannah,Alannah
Alle,Ale
Allen,Alan
Allissa,Alyssa
Allycia,Alicia
Allyson,Alison
Almir,Almiro
Almira,Elmira
Alonso,Alfonso
Alonzo,Alonso
Alora,Elora
Alpaslan,Alparslan
Alphius,Alphaeus
Alphonso,Alfonso
Alphonzo,Alfonso
Alv,Alf
Alva,Alvah
Alve,Alf
Alyce,Alice
Alycia,Alicia
Alys,Alice
Alysa,Alicia
Alyse,Alice
Alysha,Alicia
Alysia,Alicia
Alyson,Alison
Alyssa,Alicia
Alyssia,Alicia
Alyx,Alex
Amalaric,Amalric
Amalasuintha,Amalaswinþa
Amalberga,Amalaberga
Amare,Amari
Amaya,Amaia
Amelia,Amalia
Amelie,Amelia
Amen,Amon
Amenemhet,Amenemhat
Amery,Emery
Ami,Amy
Amias,Amyas
Amie,Amy
Amiran,Amirani
Amiyah,Amaya
Amoura,Amora
Amun,Amon
Amunet,Amonet
Anabella,Annabel
Anabelle,Annabel
Anaïs,Anahita
Ananda,Anand
Anano,Ana
Anar,Anara
Anastacia,Anastasia
Anastacio,Anastasio
Anatu,Anat
Anayeli,Nayeli
Andon,Anton
Andor,András
Andżelika,Angelika
Ane,Anne
Anelie,Annelie
Anette,Annette
Angelle,Angel
Angilbert,Engelbert
Angiola,Angela
Angiolo,Angelo
Aniya,Aniyah
Anjelica,Angelica
Annabel,Amabel
Annabelle,Annabel
Annbjørg,Arnbjørg
Anneka,Annika
Annelies,Anneliese
Annet,Annette
Annett,Annette
Annica,Annika
Annice,Annis
Annora,Honora
